tanggal,judul,isi_berita
2023-11-06,Kahlil Gibran's Lebanon hometown celebrates 'The Prophet' centennial,"BSHARRE (LEBANON) - Nestled in the mountains of northern Lebanon, a museum dedicated to Kahlil Gibran in his hometown of Bsharre has been celebrating the centennial of ""The Prophet"", the renowned aut… [+2870 chars]"
2023-10-23,Indonesian Presidential Candidate Names Current President’s Son as Running Mate,"Indonesias Defense Minister Prabowo Subianto has named the son of President Joko Widodo as his vice-presidential candidate.
Prabowo, after reaching consensus among political party leaders backing hi… [+2483 chars]"
2023-10-16,Indonesian court upholds minimum age for presidential candidates,"JAKARTA - Indonesia's Constitutional Court on Monday rejected a lawsuit calling for the minimum age of presidential and vice presidential candidates to be lowered to 35, shutting down one avenue for … [+1538 chars]"
2023-11-07,Chánh án tòa hiến pháp Indonesia mất chức sau phán quyết giúp con trai tổng thống tranh cử,"Indonesia yêu cu chánh án tòa hin pháp t chc vì ông ã vi phm chun mc, liên quan mt phán quyt giúp con trai tng thng có th tranh c.Gii chc Indonesia u tháng 11 thit lp y ban o c t pháp iu tra hành vi … [+1576 chars]"
2023-10-28,"Palestinians in occupied West Bank face closures, harassment and attacks","Occupied West Bank  Since the Israeli offensive began on the Gaza Strip on October 7, the violence against Palestinians in the occupied West Bank has also escalated.
At least 105 Palestinians have b… [+7926 chars]"
2023-10-16,Forbes Daily: World Conflicts Usher In ‘Most Dangerous Time’,"This is a published version of the Forbes Daily newsletter, you can sign-up to get Forbes Daily in your inbox here.
Good morning,
The Federal Reserves interest rate hikes to curb inflation have mad… [+10432 chars]"
2023-11-07,Indonesian judges rapped over nepotism,JAKARTA - A judicial ethics panel in Indonesia has found the chief justice of the Constitutional Court guilty of ethical violations over a ruling that paved the way for the son of President Joko Wido… [+1588 chars]
2023-11-07,Indonesia judges reprimanded over ruling that allowed president's son to run for VP,JAKARTA: An Indonesian judicial ethics panel reprimanded six Constitutional Court judges on Tuesday (Nov 7) after finding they had violated an ethics code in a ruling last month that allowed Presiden… [+1451 chars]
2023-10-25,Indonesia's Three-way Presidential Race Set As Deadline Nears,"The candidates for next year's Indonesian presidential election were set Wednesday, with septuagenarian former special forces general Prabowo Subianto and his running mate, the president's son, seen … [+2913 chars]"
2023-10-24,A twist in Indonesia's presidential election does not bode well for the country’s fragile democracy,"On Valentines Day next year, Indonesia will go to the polls for its most important election in ten years.
The incumbent president, Joko Widodo (known as Jokowi), has built a broad supporting coaliti… [+7743 chars]"
2023-11-03,Indonesian judge ‘guilty of backing nepotism’,JAKARTA - The chief justice of Indonesias Constitutional Court is set to be found guilty of ethical violations for his role in a decision that paved the way for the presidents son to contest the 2024… [+1953 chars]
2023-11-02,“Fear”: A poem by Khalil Gibran,"It describes both the Protagonists journey and the writers journey.
When this poem crossed my social media path the other day and I read it, I was struck how it describes a critical juncture in the … [+1507 chars]"
2023-10-16,"Indonesia court rejects moves to change eligibility rules for president, VP candidates","Chief Justice Anwar Usman, who is the president's brother-in-law and leads a panel of nine judges, rejected petitions to lower the minimum age to 35 from 40 and to allow anyone with civil service exp… [+756 chars]"
2023-10-16,"Indonesia's top court rules against lowering age limit of presidential, vice presidential candidates","JAKARTA, Indonesia -- Indonesias top court on Monday ruled against lowering the minimum age of presidential and vice presidential candidates as the country gears up for election in 2024.
The courts … [+1153 chars]"
2023-10-31,Who are Indonesia's presidential hopefuls?,Indonesia's next legislative and presidential elections are scheduled to be held in February of 2024. The Southeast Asian archipelago has held free and largely peaceful elections since the fall of di… [+5054 chars]
1970-01-01,[Removed],[Removed]
2023-10-22,Kahlil Gibran: Godfather of the “New Age”,"From JSTOR Daily:
In September 1923, Alfred A. Knopf brought out a slim, hundred-odd page volume. The publisher did little to promote it, yet its first print run (some twelve hundred copies) sold ou… [+1636 chars]"
2023-10-25,"Indonesia's Prabowo, Jokowi's son Gibran register for 2024 presidential poll amid concerns of dynastic politics","When asked by CNA whether he is still a member of the ruling PDI-P, Mr Raka - the vice-presidential hopeful - played coy.
I met and spoke with Mdm Puan (house speaker, PDI-P member, daughter of chai… [+1562 chars]"
2023-10-13,Indonesian president brushes off talk of political dynasty,"JAKARTA: Indonesia's outgoing president, Joko Widodo, on Friday brushed off a question about growing criticism that he is building a political dynasty as the end of his term draws near, saying the ch… [+1502 chars]"
2023-10-14,Young Indonesian Entrepreneur Parlays Digital Tool For Fish Breeders Into A Rare Unicorn,"Gibran Huzaifah bred fish to pay his university fees, then built eFishery into a company involving 300,000 fishponds. Hes expanding to India and elsewhere.Gibran Huzaifahs path from startup to unicor… [+315 chars]"
2023-10-22,Indonesia's leading presidential hopeful picks Widodo's son to run for VP in 2024 election,"JAKARTA, Indonesia -- Indonesias leading presidential hopeful named outgoing President Joko Widodos eldest son as his running mate in next years election in Southeast Asias largest democracy.
The an… [+4171 chars]"
